Rk,Team,Play_FT%,Reg_FT%
1,Los Angeles Lakers,0.758,0.729
2,Miami Heat,0.825,0.783
3,Denver Nuggets,0.816,0.777
4,Boston Celtics,0.816,0.801
5,Los Angeles Clippers,0.798,0.791
6,Houston Rockets,0.789,0.791
7,Toronto Raptors,0.778,0.796
8,Milwaukee Bucks,0.724,0.742
9,Utah Jazz,0.773,0.779
10,Oklahoma City Thunder,0.774,0.796
11,Dallas Mavericks,0.723,0.779
12,Orlando Magic,0.838,0.774
13,Portland Trail Blazers,0.792,0.804
14,Brooklyn Nets,0.724,0.745
15,Indiana Pacers,0.778,0.787
16,Philadelphia 76ers,0.813,0.755