Rk,Player,Playoff FG%,Reg Seas. FG%
1,Robert Williams,0.742,0.727
2,Dwight Howard,0.684,0.729
3,Rudy Gobert,0.649,0.693
4,JaVale McGee,0.625,0.637
5,Steven Adams,0.596,0.592
6,Seth Curry,0.585,0.495
7,Montrezl Harrell,0.573,0.58
8,Serge Ibaka,0.573,0.512
9,Anthony Davis,0.571,0.503
10,Myles Turner,0.568,0.457
11,Bam Adebayo,0.564,0.557
12,JaMychal Green,0.564,0.429
13,Ivica Zubac,0.564,0.613
14,LeBron James,0.56,0.493
15,Giannas Antetokounmpo,0.559,0.553
16,Brook Lopez,0.535,0.435
17,Donovan Mitchell,0.529,0.449
18,Kristaps Porzingis,0.525,0.427
19,Enes Kanter,0.524,0.572
20,Daniel Theis,0.521,0.566